name,ident,type,level,total_bytes,total_nblocks,used_bytes,free_bytes,free_chunks
index info,pg_tablespace_oid_index,AllocSet,3,1024,1,984,40,0
index info,pg_parameter_acl_parname_index,AllocSet,3,1024,1,984,40,0
index info,pg_shseclabel_object_index,AllocSet,3,3072,2,1680,1392,2
index info,pg_replication_origin_roname_index,AllocSet,3,1024,1,1016,8,0
index info,pg_database_datname_index,AllocSet,3,2048,2,1184,864,1
index info,pg_subscription_subname_index,AllocSet,3,3072,2,1576,1496,1
index info,pg_replication_origin_roiident_index,AllocSet,3,1024,1,1016,8,0
index info,pg_auth_members_role_member_index,AllocSet,3,3072,2,1712,1360,3
index info,pg_database_oid_index,AllocSet,3,2048,2,1184,864,1
index info,pg_authid_rolname_index,AllocSet,3,2048,2,1184,864,1
index info,pg_statistic_relid_att_inh_index,AllocSet,3,3072,2,1712,1360,3
index info,pg_cast_source_target_index,AllocSet,3,3072,2,1816,1256,1
index info,pg_language_name_index,AllocSet,3,1024,1,984,40,0
index info,pg_class_relname_nsp_index,AllocSet,3,3072,2,1816,1256,1
index info,pg_publication_pubname_index,AllocSet,3,1024,1,984,40,0
index info,pg_foreign_server_oid_index,AllocSet,3,1024,1,984,40,0
pg_get_backend_memory_contexts,,AllocSet,7,16384,2,10792,5592,2
relation rules,pg_backend_memory_contexts,AllocSet,3,8192,4,4912,3280,1
search_path processing cache,,AllocSet,2,8192,1,2576,5616,8
smgr relation table,,AllocSet,2,32768,3,15920,16848,8
tuplestore tuples,,Generation,6,32768,3,21368,11400,0
