name,ident,type,level,total_bytes
index info,pg_operator_oprname_l_r_n_index,AllocSet,3,2240
index info,pg_trigger_tgrelid_tgname_index,AllocSet,3,3072
index info,pg_extension_oid_index,AllocSet,3,1024
index info,pg_enum_typid_label_index,AllocSet,3,3072
index info,pg_ts_config_oid_index,AllocSet,3,1024
index info,pg_user_mapping_oid_index,AllocSet,3,1024
index info,pg_opfamily_am_name_nsp_index,AllocSet,3,3072
index info,pg_foreign_table_relid_index,AllocSet,3,1024
index info,pg_type_oid_index,AllocSet,3,2048
index info,pg_aggregate_fnoid_index,AllocSet,3,2048
index info,pg_constraint_oid_index,AllocSet,3,1024
index info,pg_rewrite_rel_rulename_index,AllocSet,3,3072
index info,pg_ts_parser_prsname_index,AllocSet,3,3072
index info,pg_propgraph_property_name_index,AllocSet,3,3072
index info,pg_ts_config_cfgname_index,AllocSet,3,3072
index info,pg_ts_parser_oid_index,AllocSet,3,1024
index info,pg_publication_rel_prrelid_prpubid_index,AllocSet,3,3072
index info,pg_operator_oid_index,AllocSet,3,1024
index info,pg_namespace_nspname_index,AllocSet,3,2048
index info,pg_ts_template_oid_index,AllocSet,3,1024
index info,pg_amop_opr_fam_index,AllocSet,3,3072
index info,pg_propgraph_label_property_label_prop_index,AllocSet,3,3072
index info,pg_default_acl_role_nsp_obj_index,AllocSet,3,3072
index info,pg_collation_name_enc_nsp_index,AllocSet,3,3072
index info,pg_publication_rel_oid_index,AllocSet,3,1024
index info,pg_range_rngtypid_index,AllocSet,3,1024
index info,pg_ts_dict_dictname_index,AllocSet,3,3072
index info,pg_type_typname_nsp_index,AllocSet,3,3072
index info,pg_opfamily_oid_index,AllocSet,3,2048
index info,pg_statistic_ext_oid_index,AllocSet,3,1024
index info,pg_statistic_ext_data_stxoid_inh_index,AllocSet,3,3072
index info,pg_class_oid_index,AllocSet,3,2048
index info,pg_proc_proname_args_nsp_index,AllocSet,3,3072
index info,pg_partitioned_table_partrelid_index,AllocSet,3,1024
index info,pg_range_rngmultitypid_index,AllocSet,3,1024
index info,pg_transform_type_lang_index,AllocSet,3,3072
index info,pg_attribute_relid_attnum_index,AllocSet,3,3072
index info,pg_proc_oid_index,AllocSet,3,2048
index info,pg_language_oid_index,AllocSet,3,1024
index info,pg_namespace_oid_index,AllocSet,3,1024
index info,pg_amproc_fam_proc_index,AllocSet,3,2240
index info,pg_foreign_server_name_index,AllocSet,3,1024
index info,pg_attribute_relid_attnam_index,AllocSet,3,3072
index info,pg_publication_namespace_pnnspid_pnpubid_index,AllocSet,3,3072
index info,pg_conversion_oid_index,AllocSet,3,1024
index info,pg_user_mapping_user_server_index,AllocSet,3,3072
index info,pg_subscription_rel_srrelid_srsubid_index,AllocSet,3,3072
index info,pg_sequence_seqrelid_index,AllocSet,3,1024
index info,pg_extension_name_index,AllocSet,3,1024
index info,pg_conversion_name_nsp_index,AllocSet,3,3072
index info,pg_authid_oid_index,AllocSet,3,2048
index info,pg_auth_members_member_role_index,AllocSet,3,3072
index info,pg_subscription_oid_index,AllocSet,3,1024
index info,pg_parameter_acl_oid_index,AllocSet,3,1024
index info,pg_tablespace_oid_index,AllocSet,3,2048
index info,pg_parameter_acl_parname_index,AllocSet,3,1024
index info,pg_shseclabel_object_index,AllocSet,3,3072
index info,pg_replication_origin_roname_index,AllocSet,3,1024
index info,pg_database_datname_index,AllocSet,3,2048
index info,pg_subscription_subname_index,AllocSet,3,3072
index info,pg_replication_origin_roiident_index,AllocSet,3,1024
index info,pg_auth_members_role_member_index,AllocSet,3,3072
index info,pg_database_oid_index,AllocSet,3,2048
index info,pg_authid_rolname_index,AllocSet,3,2048
index info,pg_class_relname_nsp_index,AllocSet,3,3072
index info,pg_foreign_server_oid_index,AllocSet,3,1024
index info,pg_publication_pubname_index,AllocSet,3,1024
index info,pg_foreign_data_wrapper_name_index,AllocSet,3,1024
index info,pg_propgraph_element_alias_index,AllocSet,3,3072
index info,pg_enum_oid_index,AllocSet,3,1024
pg_get_backend_memory_contexts,,AllocSet,7,16384
relation rules,pg_backend_memory_contexts,AllocSet,3,8192
search_path processing cache,,AllocSet,2,8192
smgr relation table,,AllocSet,2,32768
tuplestore tuples,,Generation,6,32768
